id,Company name,Order Number,Order amount,order date,paid?
126,Feedbug,848507,$1519821.96,1/20/2021,true
127,Janyx,737998,$2410054.52,1/2/2020,false
128,Dynava,223093,$2108665.78,5/12/2021,true
129,Topiczoom,504998,$1466760.45,6/1/2020,true
130,Photobug,125655,$1661608.85,6/19/2020,true
131,Realpoint,341944,$2064206.09,5/11/2021,false
132,Flipopia,002803,$2915937.33,2/26/2020,true
133,Yakitri,037401,$810285.42,9/1/2020,true
134,Gabtune,154289,$1728673.24,9/27/2021,true
135,Tagpad,160421,$943594.56,1/23/2021,false
136,Jamia,319975,$1036374.06,7/24/2021,true
137,Topdrive,357138,$20399.29,1/11/2022,false
138,Flipopia,717790,$1079166.16,12/2/2020,false
139,InnoZ,418184,$2616226.16,10/15/2020,false
140,Feednation,736389,$2353779.24,6/18/2021,false
141,Eimbee,218357,$299019.46,2/8/2022,false
142,Devcast,718542,$2810990.49,5/1/2021,true
143,Trudoo,258955,$682669.27,5/23/2021,true
144,Meezzy,776194,$419358.27,10/7/2020,true
145,Kimia,127539,$1951085.85,1/20/2020,false
146,Ntags,202232,$1304768.94,12/2/2021,false
147,Yamia,941316,$1298856.87,2/15/2021,true
148,Trupe,425390,$570803.02,3/25/2021,false
149,Aimbu,702754,$2958104.14,5/26/2020,true
150,Pixope,703066,$1409405.23,12/10/2020,true
151,Aibox,415937,$1909359.99,2/16/2021,false
152,Trunyx,546182,$35982.25,2/9/2022,false
153,Skilith,984733,$175938.48,3/26/2020,true
154,Livetube,189923,$71626.90,5/14/2020,false
155,Ailane,965558,$1619436.93,3/9/2022,true
156,Latz,738298,$770368.33,1/15/2022,true
157,Gigabox,570134,$2673311.30,2/16/2020,true
158,Brainbox,558829,$2252615.64,10/18/2020,false
159,Oyoba,895486,$2123971.93,12/9/2021,false
160,Talane,034532,$1817128.49,3/17/2020,true
161,Fanoodle,646818,$2533767.18,2/22/2022,true
162,Voonder,767658,$801657.34,8/9/2021,true
163,Yodoo,654988,$53680.02,11/20/2020,true
164,Photobug,514950,$2808399.63,3/7/2020,true
165,Buzzdog,135681,$742837.19,5/9/2020,false
166,Cogilith,584959,$562620.23,6/25/2021,true
167,Photobean,836650,$432435.16,2/24/2022,false
168,Camido,467795,$206229.10,8/13/2020,true
169,Quire,358906,$1690612.98,3/16/2021,false
170,Jabbercube,097043,$2958167.86,1/7/2022,false
171,Edgeify,380595,$448714.47,2/24/2020,true
172,Voonder,777525,$983243.35,3/14/2021,false
173,Fliptune,254128,$2627144.74,5/9/2021,true
174,Jaxnation,791271,$664489.19,11/28/2020,false
175,Rhyloo,927189,$610621.02,5/28/2020,false
176,Meejo,368528,$278461.57,5/21/2021,false
177,Topicshots,169365,$479903.47,2/28/2022,false
178,Muxo,463953,$1818208.33,4/25/2020,true
179,Jaxspan,833588,$1851068.17,5/21/2021,true
180,Jaxbean,759637,$567512.58,3/19/2020,false
181,Bubbletube,167937,$1257013.44,12/10/2020,false
182,Twitternation,763152,$159855.11,3/25/2021,true
183,Brainverse,031064,$1639705.89,3/27/2020,true
184,Feednation,507856,$2855031.10,11/19/2020,false
185,Realmix,465485,$2839164.46,3/10/2020,true
186,Meedoo,007226,$2746085.98,1/24/2022,true
187,Livefish,441168,$2656259.79,8/26/2020,false
188,Skyndu,265139,$66912.53,2/15/2020,false
189,Skinder,976255,$1161252.34,6/18/2021,false
190,Voolith,676854,$1770950.63,9/22/2021,true
191,Flipopia,111717,$2237530.23,10/21/2020,true
192,Riffwire,400943,$1628739.07,11/21/2021,true
193,Oyoba,552753,$2099481.91,9/5/2020,false
194,Abatz,174541,$2122919.75,1/1/2020,true
195,Yamia,104928,$335600.39,12/3/2020,true
196,Meevee,943954,$2346826.95,12/1/2021,false
197,Topicware,311097,$882296.84,3/7/2021,true
198,Lajo,970501,$1466890.47,1/1/2021,true
199,Digitube,423524,$1089746.31,6/3/2021,false
200,Blogtag,523664,$1709125.51,1/4/2021,false
201,Browsecat,894961,$346024.28,1/27/2021,true
202,Thoughtbeat,083689,$890699.75,4/16/2020,false
203,Twimbo,503463,$429602.80,2/4/2022,false
204,Ooba,453454,$1593355.31,5/1/2020,false
205,Jabbersphere,727677,$599294.30,3/26/2021,false
206,Yakitri,602134,$525935.38,3/16/2021,true
207,Quatz,064241,$2543147.33,1/6/2021,false
208,Browseblab,299501,$1454094.04,2/20/2020,false
209,Browseblab,016367,$584542.43,10/8/2021,false
210,Yakidoo,727186,$2896502.42,3/31/2020,false
211,Trunyx,693912,$1946921.28,12/15/2020,false
212,Jatri,286775,$2266581.54,5/13/2021,false
213,Skyndu,392662,$1854209.46,12/27/2021,false
214,Meeveo,958049,$185800.73,12/9/2020,true
215,Skimia,378631,$177397.42,2/11/2021,true
216,InnoZ,252244,$2534252.21,2/29/2020,true
217,Rhyloo,317266,$1791389.30,12/9/2021,false
218,Oozz,044629,$2093208.35,9/30/2021,false
219,Thoughtbeat,404162,$740276.60,11/30/2020,false
220,Quimba,091557,$1055992.93,12/18/2021,false
221,Browseblab,471605,$2140966.20,12/28/2020,true
222,Katz,240415,$2018602.25,12/18/2020,false
223,Rhycero,101596,$1189194.96,5/24/2021,true
224,Devcast,811952,$1149836.64,2/22/2021,false
225,Ailane,764136,$1134138.11,8/23/2021,true
226,Shufflebeat,597609,$959952.34,3/3/2022,false
227,Topicblab,544819,$1732238.04,11/23/2021,false
228,Abata,258476,$2357547.30,2/24/2022,false
229,Meetz,143949,$551549.30,9/25/2020,false
230,Twitterbridge,963051,$1392392.65,8/16/2020,false
231,Meevee,181260,$1804320.26,11/5/2021,true
232,Photojam,832967,$1515681.52,10/27/2021,false
233,Thoughtblab,051072,$2083630.17,11/29/2021,true
234,Viva,783298,$783500.21,8/24/2020,false
235,Rhynyx,307227,$2001423.96,2/22/2022,true
236,Katz,835058,$1709398.11,3/12/2021,false
237,Minyx,080837,$1629698.72,1/22/2022,true
238,Devpoint,574197,$340235.78,1/15/2021,false
239,Kwilith,147409,$849362.42,8/12/2020,false
240,Gevee,144560,$134806.49,4/13/2021,false
241,Skinder,215343,$798523.21,7/28/2020,true
242,Browseblab,601529,$564877.92,6/8/2021,true
243,Photolist,006576,$1750007.52,6/11/2021,true
244,Fatz,598013,$964159.15,12/25/2021,false
245,Roomm,152927,$2061980.15,5/30/2020,false
246,Kimia,293896,$819449.90,3/16/2021,false
247,Oodoo,809066,$31797.13,7/13/2020,true
248,Quire,556610,$1186467.74,5/26/2021,true
249,Cogidoo,962122,$1643505.13,2/21/2022,true
250,Oyope,931672,$92225.47,6/26/2020,false
251,Cogidoo,680186,$1853933.81,3/17/2021,false
252,Buzzshare,667191,$1192479.92,6/16/2021,true
253,Wikizz,009756,$1354933.97,2/16/2021,false
254,Yambee,580908,$1153767.48,4/12/2020,false
255,Wikido,243863,$2580642.30,5/1/2021,false
256,Voonix,286996,$1057547.05,5/17/2021,true
257,Skipstorm,084122,$1071718.04,3/26/2021,true
258,Camido,454959,$1626756.46,2/2/2022,true
259,Eamia,298786,$1442432.48,1/11/2022,true
260,Quinu,576122,$1064896.36,7/19/2021,false
261,Kayveo,054915,$534468.82,2/17/2020,true
262,Flashpoint,719348,$2093887.93,6/11/2021,false
263,Youspan,167946,$2773046.79,5/7/2020,false
264,Photospace,931974,$799911.59,9/24/2020,true
265,Devpulse,828036,$680049.76,9/29/2021,false
266,Babbleopia,713110,$2497336.89,8/2/2020,false
267,Skalith,351348,$696534.72,2/9/2020,false
268,Yakijo,457117,$2898197.25,5/6/2020,false
269,Divavu,226724,$764965.52,7/8/2021,true
270,Livetube,669009,$1096586.96,5/31/2020,true
271,Tagopia,114723,$2363557.88,10/3/2021,true
272,Abata,790991,$2981327.46,12/2/2021,true
273,Rhynyx,406224,$1146579.06,9/17/2021,true
274,Eazzy,223052,$214322.38,8/19/2020,false
275,Kimia,452407,$1775616.59,2/18/2022,true
276,Camido,959729,$1082331.46,5/10/2020,false
277,Zoonoodle,344946,$1638284.16,12/31/2021,true
278,Realcube,881477,$2082993.85,9/7/2020,true
279,Voolia,380383,$443053.95,3/14/2020,true
280,Eabox,306529,$2256797.27,6/3/2021,true
281,Quatz,405257,$1803714.40,9/3/2021,false
282,Quimm,216466,$278292.60,2/10/2022,false
283,Browseblab,103569,$1888993.20,11/19/2020,true
284,Devshare,921131,$2106917.95,12/9/2020,false
285,Photospace,287795,$2985566.19,5/20/2020,true
286,Kwilith,230352,$639930.12,10/4/2020,false
287,Dynabox,722978,$2754555.40,2/8/2021,true
288,Vinder,797875,$394275.57,4/27/2021,true
289,Gigazoom,542915,$2476894.43,10/9/2021,true
290,Twitterlist,720718,$424457.77,9/4/2021,false
291,Babbleblab,492813,$1177780.31,1/30/2022,true
292,Blognation,866776,$833278.54,1/1/2021,false
293,Realbuzz,469264,$2684459.51,10/17/2021,false
294,Yabox,127152,$511177.02,8/27/2021,false
295,Realbridge,786591,$980645.79,5/12/2020,false
296,Buzzbean,077052,$2240833.64,1/18/2022,true
297,Bubbletube,767626,$1574302.74,1/5/2022,false
298,Cogibox,384561,$1702000.13,3/19/2021,true
299,Oyope,990555,$1467997.20,3/16/2020,false
300,Twitterlist,546506,$2918769.84,11/1/2020,true
301,Photojam,865305,$2494032.10,6/6/2021,false
302,Kayveo,238049,$2485801.90,5/26/2020,false
303,Fivechat,193060,$666804.62,11/10/2020,false
304,JumpXS,293938,$2878570.62,11/14/2020,true
305,Bubblebox,388580,$2412086.15,8/19/2020,true
306,Blogpad,367027,$1201360.51,1/12/2022,true
307,Devpoint,231500,$166519.60,12/22/2021,false
308,Dynabox,854758,$2858310.70,8/27/2021,true
309,Quamba,588176,$90552.19,2/3/2022,false
310,Voonder,713458,$1314525.01,2/15/2022,false
311,Blogtag,661396,$1092486.49,1/9/2021,true
312,Trupe,847369,$1057985.22,2/21/2022,false
313,Livetube,936016,$1053142.71,3/13/2021,false
314,Realcube,712802,$953085.43,4/9/2020,false
315,Babbleblab,824513,$1823116.04,6/1/2020,false
316,Topicshots,416912,$538411.69,9/14/2020,true
317,Mynte,635130,$188619.44,8/19/2021,true
318,Oyoba,478675,$163294.00,3/2/2021,true
319,Aivee,323134,$2177668.94,11/9/2020,false
320,Innotype,185202,$484539.62,7/3/2020,false
321,Einti,796288,$131878.44,8/8/2021,true
322,Kayveo,072618,$837566.57,12/27/2021,true
323,Gabvine,036596,$1766735.97,11/19/2020,true
324,Linklinks,431962,$66926.31,7/14/2020,false
325,Gevee,797228,$2008662.67,1/28/2022,false
326,Ooba,140112,$178929.66,1/12/2022,true
327,Rhynoodle,315543,$1706440.61,6/7/2021,false
328,DabZ,681273,$2933159.68,8/12/2020,false
329,Tekfly,233107,$306681.21,8/21/2020,true
330,Realfire,363662,$2861948.83,3/13/2021,false
331,Gigabox,680707,$1980257.90,5/15/2020,false
332,Oyonder,430543,$47635.91,2/12/2021,false
333,Voonyx,514997,$2077711.46,1/22/2020,false
334,Vinder,689435,$2118186.48,2/3/2021,false
335,Plambee,170532,$428942.30,10/14/2021,true
336,Flashdog,124127,$2586023.12,12/22/2020,false
337,Thoughtblab,023061,$1064275.57,9/24/2020,false
338,Jayo,098881,$1581921.97,9/2/2021,true
339,Jabberstorm,204384,$1384274.36,2/21/2022,true
340,Ainyx,836032,$2996088.36,2/9/2022,false
341,Twinder,673518,$1189772.67,10/27/2021,true
342,Flipbug,312239,$337565.23,3/1/2020,false
343,Yakidoo,878436,$528956.00,11/13/2020,false
344,Vidoo,921158,$2780268.15,4/18/2021,true
345,Blogtags,214417,$2974362.78,10/25/2020,true
346,Quaxo,793471,$2068179.32,10/20/2020,true
347,Gevee,601725,$1576002.12,3/31/2020,false
348,Babbleset,493910,$818505.42,2/22/2022,true
349,Jaxbean,926691,$2229101.14,12/25/2020,true
350,Yacero,887618,$2015763.58,9/29/2021,false
351,Camido,346496,$2937531.00,12/20/2021,true
352,Vimbo,380939,$699101.99,12/3/2020,false
353,Wikizz,286654,$2049259.12,1/13/2021,true
354,Edgepulse,746748,$577472.13,5/11/2021,true
355,Babblestorm,882526,$2177866.91,4/13/2020,true
356,Yakidoo,923851,$568388.27,12/14/2020,true
357,Buzzdog,573168,$282912.49,7/10/2021,false
358,Meevee,692244,$2254324.56,5/22/2021,false
359,Livepath,961152,$2178567.51,2/6/2020,false
360,Eidel,857651,$1845525.42,10/21/2020,true
361,Flipbug,934052,$686561.48,10/13/2020,false
362,Twitterbridge,898439,$371207.98,2/12/2021,true
363,Photofeed,127169,$2606827.98,2/11/2022,false
364,Tambee,641751,$2664140.23,3/1/2022,false
365,Tagchat,402769,$2040884.93,7/22/2021,true
366,Livepath,491026,$18053.47,7/2/2021,false
367,Wikizz,058201,$2771066.30,8/16/2020,true
368,Twitterworks,041615,$2668325.80,11/11/2020,false
369,Topicstorm,113502,$2076470.15,3/1/2022,false
370,Rhybox,324511,$1896817.68,2/6/2020,true
371,Skinte,189332,$885674.82,3/23/2020,true
372,Kwimbee,837764,$1007876.13,2/18/2022,true
373,Jabbersphere,859879,$2424145.74,9/15/2020,false
374,Leexo,394801,$1999299.48,9/16/2020,true
375,Babbleblab,082869,$2204044.08,4/17/2020,true
376,Kaymbo,274411,$193828.87,2/21/2021,true
377,Wikido,533865,$2857758.46,2/4/2020,true
378,Eabox,467673,$2392897.73,5/24/2020,true
379,Mynte,782135,$590460.60,8/26/2020,true
380,Feednation,386174,$273824.03,4/8/2020,false
381,Jabbercube,390021,$1215607.39,2/2/2021,false
382,Twimm,415555,$744529.20,10/3/2021,true
383,Cogilith,262499,$2727268.46,8/10/2020,false
384,Bubblemix,034314,$2741042.78,10/12/2021,false
385,Rhynyx,974967,$1382650.14,10/12/2020,false
386,Gabtype,139788,$2146475.94,3/12/2020,true
387,Feedmix,753691,$882901.49,3/22/2021,true
388,Tambee,337715,$784060.18,4/6/2020,true
389,Linkbuzz,216135,$1614406.39,1/9/2020,true
390,Voolith,800295,$2731028.29,2/9/2022,false
391,Rhybox,400093,$251768.63,8/29/2021,true
392,Thoughtbeat,219640,$1717592.70,8/9/2020,false
393,Voonix,498354,$1882656.92,4/1/2021,false
394,Mydeo,284164,$364823.65,11/1/2020,true
395,Voonyx,467263,$810201.47,11/1/2021,false
396,Nlounge,698832,$1354315.18,7/26/2020,true
397,Edgeclub,125891,$1812398.16,12/13/2021,false
398,Innojam,018092,$1055841.43,3/14/2021,true
399,Photolist,194996,$2665442.29,2/23/2020,true
400,Brightdog,812892,$1033941.19,9/13/2020,true
401,Youtags,588438,$46321.92,1/8/2021,true
402,Fiveclub,236906,$1059775.82,11/9/2020,false
403,Chatterpoint,067653,$1073880.56,12/1/2021,true
404,Oodoo,355226,$2887115.80,7/11/2021,false
405,Skyndu,852360,$2128127.57,9/2/2020,true
406,Buzzshare,644292,$2646304.41,8/26/2020,true
407,Divape,948715,$2842815.72,11/12/2020,true
408,Myworks,202285,$2215591.19,12/21/2020,true
409,Livetube,759256,$2259202.97,6/15/2021,true
410,Blogpad,868199,$2493303.56,4/4/2021,false
411,Dablist,379914,$1961971.24,6/8/2020,false
412,Browsedrive,835223,$1475772.28,4/9/2020,true
413,Fiveclub,910345,$2718273.78,8/18/2020,true
414,Kazio,157418,$2851389.65,10/15/2021,false
415,Jaxbean,114190,$435119.28,10/24/2020,true
416,Blognation,638693,$2787566.92,3/31/2021,false
417,Yadel,764386,$123585.37,11/2/2020,false
418,Skibox,941642,$1292731.65,4/17/2021,true
419,Blognation,623563,$1975830.56,11/19/2021,true
420,Leenti,710573,$1208241.51,12/1/2021,false
421,Mymm,695918,$2792054.28,9/11/2021,false
422,Mynte,105046,$1114708.64,1/9/2020,false
423,Skilith,832445,$731613.11,6/1/2021,true
424,Skilith,378831,$457205.55,5/8/2020,true
425,Kimia,056703,$2459890.43,12/17/2021,true
426,JumpXS,710680,$836102.73,2/10/2020,true
427,Miboo,286858,$2143265.30,4/22/2021,false
428,Blogtag,128355,$2295838.76,8/14/2021,true
429,Jabbersphere,148788,$1599775.64,5/23/2020,true
430,Kanoodle,873830,$2424608.76,7/14/2020,true
431,Skinte,672709,$2986560.45,1/22/2020,true
432,Dazzlesphere,222164,$1495341.38,8/8/2021,false
433,Teklist,928909,$2174816.52,3/18/2021,false
434,Eazzy,883006,$377347.29,4/14/2021,true
435,Livepath,413165,$1083107.69,4/18/2021,true
436,Buzzbean,660059,$1606205.87,11/29/2021,true
437,Fivespan,739008,$2624850.53,11/18/2021,true
438,Skajo,217385,$1409729.68,5/3/2021,false
439,Avamba,198413,$325986.43,6/25/2021,false
440,Kwilith,718674,$749588.03,5/18/2020,false
441,Photobug,430590,$686585.47,8/27/2020,false
442,Wordtune,109356,$1671782.16,10/21/2021,false
443,Vinte,990988,$2752333.86,1/1/2020,false
444,Youtags,320325,$336049.70,6/14/2020,true
445,Devshare,233648,$800039.87,11/14/2020,true
446,Muxo,254368,$2278878.18,2/3/2022,false
447,Midel,990089,$880785.64,3/3/2022,true
448,Bluejam,582430,$1384403.39,2/18/2022,true
449,Browsecat,275716,$802819.54,11/12/2021,false
450,Twimbo,377283,$661143.06,5/1/2020,true
451,Zoomcast,421137,$982975.79,11/19/2021,true
452,Zoomcast,819133,$2460970.09,10/18/2020,false
453,Twiyo,265399,$953444.66,11/18/2020,true
454,Jayo,389199,$464216.35,2/27/2020,false
455,Skibox,329025,$1479670.85,1/21/2021,false
456,Aimbo,721078,$728599.70,4/6/2020,true
457,Linkbuzz,602662,$71776.62,9/1/2020,false
458,Linktype,727113,$431954.74,2/15/2022,false
459,Miboo,754159,$348975.71,3/14/2021,false
460,Yozio,047367,$1459293.02,3/24/2021,false
461,Rhynyx,785754,$2241158.85,6/1/2021,false
462,Twinder,046320,$2649645.88,10/19/2021,false
463,Devshare,389229,$342793.76,8/10/2020,true
464,Digitube,672411,$2548600.12,1/29/2021,true
465,Quinu,038413,$2818681.34,11/2/2021,false
466,Yotz,205845,$2581378.54,2/25/2020,true
467,Katz,787510,$508254.97,6/13/2021,true
468,Quimba,768583,$140392.65,8/3/2021,false
469,Dynabox,261275,$797655.06,11/30/2020,true
470,Agivu,790979,$1371725.48,4/22/2020,true
471,Yata,305197,$805913.35,11/12/2020,true
472,Skibox,713512,$586334.51,7/30/2020,true
473,Bluejam,666004,$168169.93,9/22/2021,false
474,Eimbee,311326,$743169.76,1/30/2022,false
475,Skibox,321129,$599099.57,5/27/2021,false
476,Kanoodle,287327,$2096187.68,7/11/2020,false
477,Pixope,096516,$140426.20,4/21/2021,true
478,Jetwire,306841,$2623740.72,11/20/2020,true
479,Wordify,096086,$2054006.70,3/8/2020,true
480,Divanoodle,402566,$1806187.87,4/22/2020,false
481,Blogpad,065783,$2381273.66,11/15/2020,false
482,Mydeo,548611,$1775832.32,7/24/2020,false
483,Avamm,981663,$1348257.80,3/6/2022,true
484,Kamba,726025,$2138318.37,9/8/2020,true
485,Browseblab,847377,$2517199.74,4/8/2020,true
486,Gabspot,473599,$1221699.83,12/14/2021,false
487,Cogidoo,967807,$939603.15,8/5/2020,true
488,Realmix,188012,$1224643.92,6/16/2021,false
489,Tagfeed,611236,$720713.85,1/24/2022,true
490,Quimba,198348,$2094290.94,2/19/2020,true
491,Oyondu,586716,$1129377.65,6/18/2021,false
492,Photofeed,451416,$1631407.03,12/23/2020,false
493,Kwilith,618937,$322180.98,2/5/2020,true
494,Shufflester,770540,$875871.68,7/11/2021,true
495,Eazzy,502255,$2256526.69,2/27/2022,false
496,Aimbo,278196,$1188570.45,1/8/2020,false
497,Browsecat,433438,$649818.78,10/22/2021,false
498,Tekfly,621140,$1757975.70,5/30/2021,true
499,Topdrive,894092,$2219850.65,9/24/2020,true
500,Gevee,342756,$392200.86,3/7/2022,true
